"Season","Week Start","Week End","Week","Location","Care Type","1-Week Percent COVID-19","dtm_updated"
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Better Health Together","Emergency Visits","1.3",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Cascade Pacific Action Alliance","Hospitalizations","3.8",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Cascade Pacific Action Alliance","Emergency Visits","1.8",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Elevate Health","Hospitalizations","2.3",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Elevate Health","Emergency Visits","1.9",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Greater Health Now","Hospitalizations","1.3",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Greater Health Now","Emergency Visits","1.6",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Healthier Here","Hospitalizations","1.9",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Healthier Here","Emergency Visits","1.9",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"North Sound","Hospitalizations","2.4",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"North Sound","Emergency Visits","2.3",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Olympic Community of Health","Hospitalizations","4.6",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Olympic Community of Health","Emergency Visits","2.2",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Southwest Washington","Hospitalizations","1.4",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Southwest Washington","Emergency Visits","1.6",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Statewide","Hospitalizations","2.2",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Statewide","Emergency Visits","1.8",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Thriving Together NCW","Hospitalizations","2.7",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Thriving Together NCW","Emergency Visits","1.1",2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-08-06 00:00:00,2023-08-12 00:00:00,32,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Better Health Together","Hospitalizations","2",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Better Health Together","Emergency Visits","1.5",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Cascade Pacific Action Alliance","Hospitalizations","3.9",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Cascade Pacific Action Alliance","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Elevate Health","Hospitalizations","2.1",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Elevate Health","Emergency Visits","2.2",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Greater Health Now","Hospitalizations","2",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Greater Health Now","Emergency Visits","2",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Healthier Here","Hospitalizations","2.3",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Healthier Here","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"North Sound","Hospitalizations","2.7",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"North Sound","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Olympic Community of Health","Hospitalizations","3.1",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Olympic Community of Health","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Southwest Washington","Hospitalizations","1.1",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Southwest Washington","Emergency Visits","1.8",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Statewide","Hospitalizations","2.4",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Statewide","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Thriving Together NCW","Hospitalizations","2.9",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Thriving Together NCW","Emergency Visits","1.7",2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-08-13 00:00:00,2023-08-19 00:00:00,33,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Better Health Together","Hospitalizations","1.9",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Better Health Together","Emergency Visits","1.3",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Cascade Pacific Action Alliance","Hospitalizations","3",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Cascade Pacific Action Alliance","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Elevate Health","Hospitalizations","2.6",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Elevate Health","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Greater Health Now","Hospitalizations","3.7",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Greater Health Now","Emergency Visits","2.7",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Healthier Here","Hospitalizations","2.7",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Healthier Here","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"North Sound","Hospitalizations","3.3",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"North Sound","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Olympic Community of Health","Hospitalizations","4.9",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Olympic Community of Health","Emergency Visits","3.8",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Southwest Washington","Hospitalizations","1.9",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Southwest Washington","Emergency Visits","1.7",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Statewide","Hospitalizations","2.9",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Statewide","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Thriving Together NCW","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Thriving Together NCW","Emergency Visits","2.2",2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-08-20 00:00:00,2023-08-26 00:00:00,34,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Better Health Together","Hospitalizations","3.3",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Better Health Together","Emergency Visits","2.2",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Cascade Pacific Action Alliance","Hospitalizations","4.3",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Cascade Pacific Action Alliance","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Elevate Health","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Elevate Health","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Greater Health Now","Hospitalizations","4.2",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Greater Health Now","Emergency Visits","3.3",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Healthier Here","Hospitalizations","2.7",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Healthier Here","Emergency Visits","2.9",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"North Sound","Hospitalizations","2.7",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"North Sound","Emergency Visits","2.3",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Olympic Community of Health","Hospitalizations","4.5",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Olympic Community of Health","Emergency Visits","3.1",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Southwest Washington","Hospitalizations","1.9",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Southwest Washington","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Statewide","Hospitalizations","3.1",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Statewide","Emergency Visits","2.7",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Thriving Together NCW","Hospitalizations","4.2",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Thriving Together NCW","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-08-27 00:00:00,2023-09-02 00:00:00,35,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Better Health Together","Hospitalizations","2.2",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Better Health Together","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Cascade Pacific Action Alliance","Hospitalizations","4.8",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Cascade Pacific Action Alliance","Emergency Visits","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Elevate Health","Hospitalizations","2.7",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Elevate Health","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Greater Health Now","Hospitalizations","3.7",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Greater Health Now","Emergency Visits","4",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Healthier Here","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Healthier Here","Emergency Visits","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"North Sound","Hospitalizations","3.3",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"North Sound","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Olympic Community of Health","Hospitalizations","5.1",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Olympic Community of Health","Emergency Visits","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Southwest Washington","Hospitalizations","2.9",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Southwest Washington","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Statewide","Hospitalizations","3.3",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Statewide","Emergency Visits","3",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Thriving Together NCW","Hospitalizations","3.3",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Thriving Together NCW","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-09-03 00:00:00,2023-09-09 00:00:00,36,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Better Health Together","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Better Health Together","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Cascade Pacific Action Alliance","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Cascade Pacific Action Alliance","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Elevate Health","Hospitalizations","2.6",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Elevate Health","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Greater Health Now","Hospitalizations","3",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Greater Health Now","Emergency Visits","3.6",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Healthier Here","Hospitalizations","3.1",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Healthier Here","Emergency Visits","3.5",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"North Sound","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"North Sound","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Olympic Community of Health","Hospitalizations","3.5",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Olympic Community of Health","Emergency Visits","4.3",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Southwest Washington","Hospitalizations","3.8",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Southwest Washington","Emergency Visits","2.3",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Statewide","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Statewide","Emergency Visits","3.1",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Thriving Together NCW","Hospitalizations","5.4",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Thriving Together NCW","Emergency Visits","3.5",2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-09-10 00:00:00,2023-09-16 00:00:00,37,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Better Health Together","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Better Health Together","Emergency Visits","3",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Cascade Pacific Action Alliance","Hospitalizations","2.4",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Cascade Pacific Action Alliance","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Elevate Health","Hospitalizations","3.4",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Elevate Health","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Greater Health Now","Hospitalizations","3.9",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Greater Health Now","Emergency Visits","2.9",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Healthier Here","Hospitalizations","2.9",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Healthier Here","Emergency Visits","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"North Sound","Hospitalizations","3.1",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"North Sound","Emergency Visits","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Olympic Community of Health","Hospitalizations","3",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Olympic Community of Health","Emergency Visits","3.9",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Southwest Washington","Hospitalizations","4",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Southwest Washington","Emergency Visits","3.1",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Statewide","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Statewide","Emergency Visits","2.9",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Thriving Together NCW","Hospitalizations","2.7",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Thriving Together NCW","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-09-17 00:00:00,2023-09-23 00:00:00,38,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Better Health Together","Hospitalizations","3",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Better Health Together","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Cascade Pacific Action Alliance","Hospitalizations","2.9",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Cascade Pacific Action Alliance","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Elevate Health","Hospitalizations","2.7",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Elevate Health","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Greater Health Now","Hospitalizations","3.4",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Greater Health Now","Emergency Visits","2.7",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Healthier Here","Hospitalizations","3",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Healthier Here","Emergency Visits","3",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"North Sound","Hospitalizations","2.7",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"North Sound","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Olympic Community of Health","Hospitalizations","5.4",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Olympic Community of Health","Emergency Visits","3.6",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Southwest Washington","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Southwest Washington","Emergency Visits","3.3",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Statewide","Hospitalizations","3",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Statewide","Emergency Visits","2.7",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Thriving Together NCW","Hospitalizations","2.6",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Thriving Together NCW","Emergency Visits","2",2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-09-24 00:00:00,2023-09-30 00:00:00,39,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Better Health Together","Hospitalizations","3.8",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Better Health Together","Emergency Visits","2.7",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Cascade Pacific Action Alliance","Hospitalizations","3.5",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Cascade Pacific Action Alliance","Emergency Visits","2.4",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Elevate Health","Hospitalizations","2.1",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Elevate Health","Emergency Visits","2.4",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Greater Health Now","Hospitalizations","3.4",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Greater Health Now","Emergency Visits","2.3",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Healthier Here","Hospitalizations","2.2",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Healthier Here","Emergency Visits","2.3",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"North Sound","Hospitalizations","2.7",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"North Sound","Emergency Visits","2.8",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Olympic Community of Health","Hospitalizations","1.6",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Olympic Community of Health","Emergency Visits","2.6",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Southwest Washington","Hospitalizations","4.2",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Southwest Washington","Emergency Visits","3.4",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Statewide","Hospitalizations","2.7",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Statewide","Emergency Visits","2.5",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Thriving Together NCW","Hospitalizations","1.6",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Thriving Together NCW","Emergency Visits","2.5",2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2023-2024",2023-10-01 00:00:00,2023-10-07 00:00:00,40,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2023-2024",2023-10-08 00:00:00,2023-10-14 00:00:00,41,"Better Health Together","Hospitalizations","4.3",2024-04-16 07:58:20
"2023-2024",2023-10-08 00:00:00,2023-10-14 00:00:00,41,"Better Health Together","Emergency Visits","2.5",2024-04-16 07:58:20
"2023-2024",2023-10-08 00:00:00,2023-10-14 00:00:00,41,"Cascade Pacific Action Alliance","Hospitalizations","3",2024-04-16 07:58:20
"2023-2024",2023-10-08 00:00:00,2023-10-14 00:00:00,41,"Cascade Pacific Action Alliance","Emergency Visits","2",2024-04-16 07:58:20
"2023-2024",2023-10-08 00:00:00,2023-10-14 00:00:00,41,"Elevate Health","Hospitalizations","2.3",2024-04-16 07:58:20
